,rseed,num_req,adm_rate,succ_order_rate,service_rate
EDD-2-IT0-future_cstp,18,157,16.5605,46.1538,7.6433
EDD-3-IT0-future_cstp,18,157,16.5605,46.1538,7.6433
EDD-4-IT0-future_cstp,18,157,15.9236,48.0,7.6433
EDD-5-IT0-future_cstp,18,157,15.9236,48.0,7.6433
EDD-6-IT0-future_cstp,18,157,15.9236,48.0,7.6433
FOFS-ITInf-future_cstp,18,157,100.0,9.5541,9.5541
EDD-1-ITInf-future_cstp,18,157,100.0,8.2803,8.2803
EDD-2-ITInf-future_cstp,18,157,100.0,8.2803,8.2803
EDD-3-ITInf-future_cstp,18,157,100.0,8.2803,8.2803
EDD-4-ITInf-future_cstp,18,157,100.0,8.2803,8.2803
EDD-5-ITInf-future_cstp,18,157,100.0,8.2803,8.2803
EDD-6-ITInf-future_cstp,18,157,100.0,8.2803,8.2803
FOFS-IT0-current,19,150,7.3333,100.0,7.3333
EDD-1-IT0-current,19,150,48.0,15.2778,7.3333
EDD-2-IT0-current,19,150,54.0,13.5802,7.3333
EDD-3-IT0-current,19,150,52.6667,13.9241,7.3333
EDD-4-IT0-current,19,150,51.3333,14.2857,7.3333
EDD-5-IT0-current,19,150,50.0,14.6667,7.3333
EDD-6-IT0-current,19,150,48.0,15.2778,7.3333
FOFS-ITInf-current,19,150,100.0,8.6667,8.6667
EDD-1-ITInf-current,19,150,100.0,8.0,8.0
EDD-2-ITInf-current,19,150,100.0,8.0,8.0
EDD-3-ITInf-current,19,150,100.0,8.0,8.0
EDD-4-ITInf-current,19,150,100.0,8.0,8.0
EDD-5-ITInf-current,19,150,100.0,8.0,8.0
EDD-6-ITInf-current,19,150,100.0,8.0,8.0
FOFS-IT0-future,19,150,78.0,11.1111,8.6667
EDD-1-IT0-future,19,150,82.0,8.9431,7.3333
